time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
60270,24,76,124,57,38,21,20,24,5294,-2271,-11620,-10013,1209,1572,-17,79,-52,-9
60293,28,95,138,60,35,20,23,24,5289,-2263,-11629,-10006,1199,1598,-4,104,-44,-2
60316,25,107,153,65,27,22,24,23,5284,-2252,-11639,-9999,1170,1599,19,126,-46,-7
60330,28,107,163,67,25,22,25,20,5278,-2235,-11650,-9994,1151,1596,61,157,-41,-34
60353,30,112,165,62,24,22,25,20,5271,-2210,-11663,-9988,1134,1622,104,191,-39,-58
60376,31,132,200,49,26,24,27,24,5264,-2180,-11680,-9979,1107,1627,111,239,-35,-58
60390,40,131,210,47,24,23,26,23,5261,-2145,-11698,-9966,1068,1628,136,280,-12,-50
60413,40,133,246,51,26,25,25,27,5262,-2101,-11715,-9955,1072,1615,131,285,39,-81
60436,38,137,268,55,29,30,24,27,5267,-2043,-11730,-9947,1048,1595,103,287,115,-133
60450,39,161,281,57,29,30,27,30,5276,-1978,-11748,-9934,998,1562,75,317,157,-133
60472,37,147,285,65,29,31,26,28,5288,-1915,-11775,-9908,934,1540,61,398,146,-78
60496,29,141,282,70,31,31,24,29,5304,-1856,-11805,-9875,901,1540,79,434,128,-25
60510,30,139,271,64,31,29,24,28,5327,-1808,-11841,-9829,924,1505,41,484,111,34
60532,31,138,240,61,30,23,24,27,5353,-1766,-11885,-9769,970,1523,-9,541,89,82
60556,35,126,234,67,31,22,24,25,5388,-1735,-11934,-9695,987,1568,-4,612,69,188
60570,38,139,218,69,35,24,24,28,5432,-1711,-11986,-9610,1056,1586,-68,641,80,245
60593,43,151,242,64,35,22,26,29,5473,-1688,-12035,-9529,1113,1617,-136,587,88,224
60616,51,151,217,64,35,23,27,26,5510,-1667,-12078,-9458,1086,1574,-180,510,93,208
60630,54,148,285,74,36,23,25,26,5544,-1651,-12121,-9384,1085,1526,-208,502,72,207
60652,49,143,318,76,37,23,24,24,5573,-1635,-12168,-9309,1099,1487,-259,495,53,176
