time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
70908,28,20,20,22,26,32,22,22,2991,-6391,-11208,-9646,1361,1267,-597,-81,-174,68
70925,27,17,21,21,27,33,23,21,2969,-6429,-11207,-9629,1398,1257,-591,-76,-202,74
70946,26,17,20,20,26,31,24,22,2952,-6469,-11203,-9612,1434,1276,-573,-59,-204,100
70968,25,16,20,21,29,30,27,22,2940,-6509,-11199,-9594,1456,1288,-564,-38,-189,121
70985,24,16,19,22,28,33,24,22,2934,-6546,-11191,-9579,1493,1320,-533,-30,-172,131
71006,23,16,18,22,32,31,26,21,2927,-6578,-11184,-9568,1508,1369,-524,-23,-153,122
71028,21,16,19,24,35,32,29,18,2920,-6605,-11175,-9562,1537,1415,-502,-36,-142,110
71045,18,20,19,26,36,34,29,18,2911,-6625,-11164,-9564,1541,1444,-508,-60,-99,86
71066,18,19,19,22,34,32,27,16,2905,-6636,-11153,-9570,1512,1436,-506,-63,-53,62
71088,19,24,24,25,34,30,27,17,2901,-6638,-11146,-9579,1489,1418,-474,-40,-14,23
71105,20,27,25,26,29,28,34,18,2898,-6627,-11144,-9589,1462,1393,-465,-15,26,-34
71126,23,30,27,26,23,26,31,20,2894,-6606,-11149,-9600,1433,1356,-452,11,55,-99
71148,23,29,27,26,24,23,31,22,2891,-6578,-11159,-9608,1379,1303,-438,41,71,-137
71165,23,28,25,27,27,25,31,21,2895,-6550,-11172,-9611,1359,1241,-454,74,88,-132
71186,23,23,21,25,23,23,32,25,2909,-6527,-11185,-9607,1384,1222,-469,110,103,-92
71208,21,23,21,25,23,22,23,28,2932,-6507,-11197,-9599,1445,1237,-510,128,121,-59
71225,17,20,20,22,23,21,22,28,2960,-6488,-11208,-9590,1478,1276,-543,128,146,-35
71246,15,20,22,21,23,20,21,26,2988,-6471,-11219,-9581,1500,1307,-594,114,158,-17
71268,12,21,24,21,21,19,20,29,3011,-6458,-11228,-9573,1501,1337,-620,86,143,-4
71293,13,22,23,19,21,18,19,26,3024,-6450,-11234,-9566,1497,1376,-634,41,92,6
71306,15,22,26,19,25,28,24,22,3023,-6452,-11236,-9563,1485,1402,-610,-13,14,17
71328,19,25,24,21,27,32,24,22,3011,-6461,-11232,-9565,1491,1414,-600,-75,-36,18
71345,21,25,23,21,26,32,24,24,2992,-6474,-11223,-9573,1501,1387,-571,-128,-74,-2
71366,25,24,24,21,26,33,24,22,2967,-6483,-11214,-9585,1497,1347,-532,-151,-84,-49
71388,24,25,23,26,30,36,25,24,2942,-6484,-11205,-9602,1500,1316,-516,-158,-59,-107
71405,23,25,20,24,29,32,23,24,2919,-6478,-11198,-9622,1473,1265,-487,-154,-28,-148
71426,21,20,20,23,36,29,25,24,2901,-6468,-11192,-9641,1439,1247,-488,-130,10,-146
71448,19,20,22,24,35,30,26,21,2892,-6459,-11186,-9656,1446,1247,-494,-100,33,-110
71465,16,20,21,25,35,29,25,24,2891,-6451,-11179,-9670,1486,1284,-503,-89,55,-80
71486,15,18,22,19,32,27,23,22,2888,-6443,-11171,-9686,1506,1354,-504,-90,58,-64
71510,16,19,22,20,29,24,20,25,2878,-6437,-11165,-9700,1453,1399,-515,-99,23,-50
71531,19,20,24,19,21,23,16,25,2855,-6443,-11156,-9713,1347,1377,-458,-121,-63,-11
71546,20,19,24,18,20,22,14,25,2830,-6458,-11144,-9725,1366,1385,-439,-140,-117,21
71568,23,21,24,17,17,21,15,22,2804,-6472,-11130,-9739,1417,1422,-429,-146,-117,9
71591,23,21,23,18,21,19,15,24,2781,-6478,-11116,-9757,1473,1445,-437,-152,-80,-28
71606,24,19,22,18,23,17,18,24,2757,-6474,-11105,-9779,1444,1418,-402,-136,-44,-82
71628,21,19,23,19,24,20,19,22,2737,-6463,-11099,-9798,1380,1349,-383,-98,-22,-113
71651,20,20,21,19,23,19,19,23,2722,-6447,-11100,-9812,1379,1328,-389,-51,5,-136
71666,18,19,20,23,29,22,19,23,2713,-6424,-11104,-9825,1398,1338,-390,-14,42,-150
71688,18,21,20,24,27,22,20,21,2711,-6401,-11110,-9834,1386,1336,-435,1,77,-128
71711,18,20,21,24,25,22,20,18,2712,-6385,-11114,-9839,1318,1321,-458,5,76,-67
71726,17,18,19,24,27,24,19,19,2716,-6380,-11117,-9838,1286,1327,-456,18,46,11
71748,17,19,23,24,26,26,22,18,2723,-6384,-11117,-9834,1313,1389,-468,21,16,78
71771,17,19,25,21,22,24,22,23,2726,-6397,-11115,-9827,1331,1423,-457,19,-39,115
71786,18,18,25,19,25,28,24,23,2720,-6417,-11112,-9819,1325,1441,-424,10,-110,122
71808,17,19,26,19,26,29,24,24,2709,-6440,-11107,-9812,1342,1447,-416,-13,-135,116
