time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
297130,30,21,39,27,38,36,32,23,-7448,-11525,-1870,-8756,1066,1140,-106,651,1147,108
297153,31,22,42,22,40,36,29,20,-7328,-11486,-1978,-8884,1277,1297,-305,494,1069,168
297175,30,23,41,28,43,37,29,24,-7224,-11461,-2056,-8983,1377,1524,-408,354,871,220
297190,29,24,37,26,40,35,27,24,-7140,-11453,-2092,-9052,1335,1687,-464,189,599,345
297213,37,26,40,27,38,39,31,23,-7093,-11461,-2071,-9084,1292,1705,-439,-57,236,404
297235,37,26,42,29,41,40,35,26,-7088,-11474,-2001,-9087,1284,1682,-338,-295,-79,403
297252,34,32,84,39,47,40,36,29,-7104,-11485,-1918,-9078,1372,1596,-175,-350,-225,301
297273,33,31,94,36,43,47,38,34,-7133,-11483,-1848,-9073,1520,1544,-39,-344,-195,133
297295,34,32,140,44,42,47,36,33,-7169,-11467,-1821,-9070,1573,1549,41,-243,-68,-82
297312,24,34,149,51,48,44,35,35,-7195,-11446,-1844,-9072,1473,1514,78,-50,82,-217
297333,29,34,151,51,45,43,32,32,-7200,-11425,-1906,-9081,1363,1484,81,150,220,-256
297355,29,30,138,49,41,48,33,30,-7192,-11404,-1983,-9096,1330,1438,14,211,312,-274
297372,30,31,134,51,51,57,32,26,-7179,-11381,-2062,-9118,1275,1407,14,228,356,-244
297393,31,30,88,44,58,56,33,33,-7162,-11354,-2128,-9150,1266,1385,-41,161,402,-159
297415,30,25,67,35,54,54,28,34,-7147,-11325,-2172,-9187,1290,1417,-89,55,392,-75
297432,26,26,63,36,54,59,29,36,-7126,-11309,-2194,-9218,1295,1454,-132,19,295,37
297453,26,24,45,29,58,53,28,39,-7103,-11308,-2193,-9237,1241,1480,-129,7,141,150
297475,26,20,38,25,55,41,27,37,-7084,-11320,-2165,-9244,1238,1480,-127,-48,-10,225
297492,24,20,34,26,49,42,27,35,-7076,-11335,-2120,-9242,1266,1478,-73,-113,-126,229
297513,25,20,34,27,48,43,28,33,-7078,-11353,-2073,-9229,1284,1453,-43,-128,-201,172
297535,25,22,35,27,51,38,25,31,-7085,-11368,-2031,-9214,1328,1405,-14,-120,-201,96
297550,32,21,42,27,47,37,26,30,-7091,-11377,-2002,-9206,1365,1399,16,-90,-137,46
297573,31,22,46,27,41,32,24,28,-7090,-11379,-1985,-9207,1398,1403,18,-39,-48,26
297595,33,31,96,36,47,35,26,25,-7081,-11380,-1979,-9214,1400,1435,16,16,15,38
297610,34,36,143,49,53,46,28,24,-7068,-11376,-1980,-9229,1481,1473,12,31,85,19
297633,34,37,158,56,53,44,29,25,-7068,-11358,-1994,-9248,1439,1520,19,-17,164,-34
297655,30,43,165,61,54,46,28,27,-7073,-11336,-2012,-9267,1428,1529,41,-19,174,-62
297670,30,46,174,63,56,50,28,27,-7085,-11314,-2041,-9279,1389,1549,75,1,161,-130
297693,26,44,168,60,57,51,26,22,-7102,-11288,-2078,-9289,1416,1550,86,-1,180,-198
297724,25,40,134,52,60,49,28,28,-7125,-11261,-2122,-9294,1480,1572,99,3,175,-277
297733,25,39,120,45,61,48,27,26,-7149,-11243,-2183,-9283,1444,1580,16,53,157,-373
297753,23,33,110,37,57,47,27,25,-7173,-11232,-2251,-9262,1322,1522,-14,85,127,-397
297775,23,26,91,37,56,43,26,25,-7190,-11232,-2306,-9236,1185,1433,-23,105,42,-314
297792,24,21,59,34,52,42,27,27,-7191,-11250,-2342,-9204,1099,1280,-25,160,-71,-210
297813,22,22,55,31,45,31,22,22,-7175,-11285,-2370,-9167,1151,1213,-73,227,-143,-173
297835,21,21,44,31,44,36,25,23,-7152,-11320,-2404,-9132,1263,1297,-138,247,-92,-192
297852,16,21,39,31,46,36,24,23,-7125,-11354,-2442,-9100,1195,1390,-181,264,-53,-127
297873,16,24,40,28,48,41,25,25,-7093,-11396,-2461,-9068,1106,1455,-178,246,-129,25
297897,17,24,41,34,49,42,24,24,-7066,-11448,-2435,-9031,1073,1484,-130,140,-313,212
297918,18,23,57,34,49,43,21,23,-7047,-11508,-2364,-8988,1114,1474,-71,27,-500,338
297933,17,26,68,35,47,40,24,23,-7032,-11568,-2273,-8946,1197,1515,-53,-36,-559,392
297955,19,28,77,38,48,46,27,24,-7027,-11622,-2179,-8903,1248,1538,-34,-84,-578,366
297978,20,28,78,39,44,40,27,20,-7027,-11666,-2093,-8867,1300,1529,1,-86,-517,309
297993,20,28,74,32,41,37,26,22,-7020,-11706,-2023,-8836,1297,1481,49,-8,-462,263
298015,22,29,61,34,36,46,34,25,-6999,-11743,-1972,-8814,1335,1438,43,102,-365,224
298038,24,27,48,33,35,49,31,27,-6963,-11779,-1947,-8799,1320,1419,-11,205,-245,184
298053,25,23,34,31,33,48,31,25,-6918,-11815,-1939,-8789,1213,1381,-75,268,-155,189
298075,26,22,33,30,31,47,31,29,-6859,-11856,-1920,-8784,1110,1305,-127,285,-149,309
298098,25,23,34,30,31,47,34,28,-6789,-11910,-1870,-8777,1037,1246,-124,274,-264,485
298113,24,21,34,24,31,38,29,29,-6709,-11974,-1788,-8769,1102,1239,-112,248,-378,636
298135,22,19,32,21,29,34,27,28,-6621,-12043,-1676,-8763,1235,1281,-120,211,-455,767
298158,24,26,32,18,24,25,25,28,-6530,-12114,-1536,-8759,1440,1324,-129,153,-531,851
298173,26,38,32,19,24,29,30,29,-6445,-12182,-1393,-8751,1618,1338,-185,97,-546,801
298195,27,55,35,21,24,27,27,32,-6365,-12242,-1263,-8746,1785,1456,-225,98,-478,739
298218,31,58,34,21,25,29,27,30,-6296,-12288,-1166,-8745,1957,1593,-342,98,-328,580
298233,33,67,35,25,34,28,25,32,-6278,-12303,-1097,-8746,1979,1686,-426,-126,-155,345
298255,33,89,34,25,37,30,27,33,-6313,-12286,-1052,-8750,1998,1703,-482,-365,8,79
298286,44,117,49,28,39,35,23,37,-6378,-12246,-1033,-8760,1842,1575,-440,-470,151,-118
298293,55,119,57,27,39,36,25,34,-6455,-12206,-1029,-8762,1626,1444,-362,-456,136,-216
298315,55,122,64,28,41,36,24,34,-6547,-12171,-1034,-8741,1537,1366,-333,-479,34,-356
298338,109,143,84,25,38,40,27,35,-6663,-12135,-1030,-8703,1431,1335,-226,-565,-90,-414
298353,129,160,92,28,38,39,26,37,-6775,-12105,-1015,-8661,1465,1242,-177,-563,-168,-423
298375,129,140,86,25,37,39,24,29,-6865,-12079,-993,-8628,1468,1173,-140,-477,-164,-339
298398,131,137,84,24,35,41,23,30,-6933,-12052,-965,-8615,1515,1174,-162,-428,-71,-233
298413,135,152,79,26,33,39,21,30,-6990,-12013,-931,-8627,1530,1230,-109,-414,33,-95
298435,110,140,73,28,30,38,21,27,-7046,-11964,-895,-8653,1517,1351,-101,-446,130,-2
298458,87,107,66,26,29,40,27,28,-7099,-11910,-863,-8688,1556,1423,-132,-454,210,16
298473,83,110,68,27,27,33,27,29,-7162,-11852,-840,-8718,1489,1465,-113,-477,218,-14
298495,113,111,67,28,31,32,28,27,-7229,-11799,-824,-8736,1440,1439,-95,-454,179,-78
298518,116,95,69,25,32,31,29,26,-7294,-11751,-823,-8747,1466,1421,-78,-390,169,-172
298533,107,80,52,22,34,28,28,27,-7352,-11711,-841,-8750,1528,1442,-59,-279,158,-267
298556,106,77,46,24,34,27,25,23,-7400,-11681,-880,-8746,1494,1411,-36,-152,154,-340
