time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
33951,19,27,22,21,19,21,28,96,5513,-3170,-12623,-8287,1465,1335,-529,38,24,-22
33965,18,30,21,21,20,21,33,91,5515,-3160,-12624,-8288,1440,1339,-521,29,33,-28
33995,19,29,22,19,21,20,34,98,5516,-3151,-12626,-8287,1450,1330,-545,19,29,-32
34010,18,27,20,18,19,23,34,85,5517,-3146,-12628,-8286,1433,1312,-540,19,18,-17
34026,19,29,20,19,18,22,36,87,5517,-3146,-12628,-8285,1425,1292,-549,9,7,-13
34056,16,29,21,21,19,24,36,94,5517,-3146,-12631,-8281,1443,1283,-541,16,-9,-9
34070,17,31,21,21,18,24,31,83,5517,-3146,-12631,-8281,1460,1319,-535,13,-8,-2
34092,17,30,20,21,16,24,28,77,5517,-3146,-12631,-8281,1449,1318,-532,-1,-6,8
34107,18,32,20,23,15,22,26,77,5517,-3146,-12631,-8281,1460,1320,-544,0,-4,13
34130,19,29,19,22,18,25,23,84,5517,-3147,-12631,-8281,1465,1322,-534,11,-1,3
34145,21,28,18,21,19,23,26,104,5519,-3145,-12632,-8279,1463,1324,-531,19,4,-4
34167,24,24,18,21,19,23,28,106,5519,-3145,-12632,-8279,1460,1322,-539,11,-2,-9
34198,24,27,17,19,20,23,29,106,5519,-3145,-12632,-8278,1470,1314,-539,1,-1,-6
34205,24,24,18,18,20,24,28,125,5519,-3145,-12632,-8278,1462,1325,-551,1,0,-5
34229,23,28,19,20,20,22,33,124,5519,-3145,-12633,-8278,1454,1325,-542,2,1,4
34250,24,31,18,17,21,23,30,97,5519,-3145,-12633,-8278,1440,1319,-541,6,-6,7
34266,22,31,19,17,21,24,28,89,5519,-3145,-12633,-8278,1446,1324,-525,5,-4,1
34287,20,28,22,19,22,28,31,90,5519,-3145,-12632,-8278,1447,1308,-525,2,6,-4
34310,20,28,20,19,25,31,40,95,5519,-3145,-12633,-8278,1438,1308,-541,-2,12,-8
34340,22,29,20,20,24,30,36,95,5519,-3145,-12633,-8278,1443,1294,-539,-6,6,-2
34347,21,26,23,21,24,29,37,116,5519,-3146,-12633,-8278,1458,1299,-525,-2,10,13
34370,20,33,22,24,23,31,43,123,5524,-3148,-12630,-8277,1468,1320,-537,-6,19,24
34385,20,34,23,24,22,27,44,123,5529,-3151,-12627,-8278,1466,1328,-547,-15,20,22
34409,21,34,23,23,19,22,38,104,5532,-3152,-12624,-8280,1472,1337,-533,-16,18,17
34430,19,30,25,22,19,23,40,108,5535,-3152,-12622,-8280,1474,1345,-542,-5,18,12
34446,20,35,23,26,20,24,41,93,5537,-3151,-12622,-8280,1455,1324,-550,-3,17,0
34467,20,29,22,26,19,36,42,89,5536,-3148,-12622,-8281,1437,1323,-555,-4,16,-9
34490,22,34,23,24,20,38,39,87,5535,-3148,-12623,-8280,1439,1309,-562,-12,10,1
34514,23,35,23,24,23,40,37,98,5535,-3152,-12622,-8281,1430,1295,-547,-23,-3,15
34527,24,34,21,27,24,39,38,95,5534,-3158,-12621,-8281,1429,1290,-546,-27,-8,18
34550,22,28,20,26,24,39,39,96,5533,-3163,-12619,-8282,1438,1296,-541,-23,-8,18
34565,24,32,21,24,24,28,34,113,5534,-3169,-12618,-8282,1438,1295,-528,-18,-11,26
34589,23,33,20,24,24,29,34,116,5535,-3177,-12617,-8278,1454,1290,-535,-6,-21,40
34618,21,35,22,24,22,27,35,104,5536,-3187,-12617,-8275,1454,1311,-532,-6,-26,47
34625,18,38,22,21,21,27,32,99,5538,-3195,-12614,-8274,1465,1327,-517,-12,-18,51
34648,20,39,22,20,21,27,28,92,5541,-3202,-12611,-8275,1492,1338,-526,-15,-5,41
34670,18,35,22,21,22,25,24,65,5545,-3204,-12608,-8275,1495,1346,-531,-5,11,23
34685,16,32,20,22,20,27,28,78,5549,-3202,-12608,-8273,1484,1347,-552,14,23,10
34707,19,29,18,24,23,28,31,81,5552,-3199,-12609,-8271,1476,1327,-546,17,25,-2
34730,20,29,19,25,23,28,30,93,5552,-3199,-12609,-8271,1457,1318,-549,13,14,-9
34753,19,28,21,25,23,28,35,95,5551,-3199,-12610,-8271,1451,1304,-550,-8,0,-14
34767,19,30,20,23,22,27,40,111,5548,-3202,-12610,-8271,1450,1292,-546,-18,-17,-2
34790,20,26,21,23,23,24,36,102,5545,-3207,-12609,-8272,1445,1284,-531,-23,-20,8
34812,19,26,22,19,21,22,33,99,5543,-3212,-12609,-8273,1448,1289,-529,-19,-23,10
34836,18,24,21,19,24,21,33,89,5542,-3216,-12608,-8273,1459,1306,-527,-12,-17,13
34850,18,24,20,21,23,20,29,97,5542,-3216,-12608,-8273,1487,1320,-538,-5,-4,5
34872,20,27,19,22,24,21,27,119,5542,-3216,-12608,-8273,1468,1321,-537,4,-4,6
34887,20,26,20,22,24,19,31,129,5542,-3216,-12608,-8273,1456,1302,-537,3,-9,4
34910,17,27,19,24,24,21,33,128,5542,-3216,-12608,-8273,1457,1292,-534,5,-16,-1
34932,17,27,19,23,22,23,35,131,5542,-3216,-12608,-8273,1465,1309,-531,-1,-16,2
34947,18,26,18,20,21,23,37,132,5542,-3216,-12608,-8273,1472,1317,-533,-9,-13,11
34970,17,21,20,19,20,25,33,107,5543,-3220,-12608,-8270,1478,1306,-535,1,-12,17
34992,17,24,18,18,22,24,31,96,5543,-3221,-12610,-8266,1473,1314,-532,22,-14,9
35007,18,29,19,17,21,22,30,95,5541,-3221,-12614,-8262,1460,1321,-541,25,-19,3
35030,20,28,20,18,20,21,31,89,5538,-3223,-12616,-8259,1465,1303,-545,9,-19,-2
35061,18,28,20,18,22,23,32,103,5536,-3227,-12618,-8256,1463,1284,-559,-3,-21,5
35067,20,30,18,20,21,21,33,97,5535,-3232,-12620,-8252,1466,1287,-547,7,-22,17
35100,21,29,20,20,21,27,33,92,5536,-3237,-12622,-8248,1470,1299,-545,11,-20,25
35112,21,23,20,21,22,27,34,97,5534,-3241,-12624,-8244,1456,1307,-548,10,-24,18
35128,20,26,20,19,23,27,31,97,5530,-3243,-12627,-8242,1467,1323,-554,10,-22,5
35150,21,26,20,21,21,25,34,102,5528,-3245,-12628,-8240,1480,1311,-553,3,-22,-2
35172,21,24,22,20,23,26,33,99,5525,-3247,-12630,-8238,1474,1297,-554,2,-23,-4
35187,20,27,21,21,22,22,35,104,5523,-3250,-12633,-8235,1462,1290,-543,11,-23,3
35210,21,27,20,23,22,21,36,110,5520,-3253,-12635,-8232,1455,1293,-559,4,-25,10
35233,25,25,21,23,20,21,42,135,5515,-3259,-12637,-8230,1460,1304,-558,-6,-36,14
35247,25,26,21,21,20,24,44,117,5512,-3265,-12637,-8228,1467,1301,-550,-10,-36,16
35271,23,30,21,21,18,23,44,118,5509,-3271,-12639,-8226,1466,1293,-555,-6,-33,11
35316,22,26,21,23,17,21,43,116,5505,-3274,-12640,-8225,1467,1308,-557,1,-27,9
35318,22,26,21,21,16,24,41,108,5501,-3278,-12642,-8223,1476,1322,-560,-4,-31,10
35338,18,25,19,22,19,25,36,73,5495,-3284,-12643,-8224,1479,1320,-569,-20,-38,3
35352,17,27,19,21,20,23,35,103,5489,-3288,-12645,-8224,1471,1303,-575,-18,-40,-3
35367,18,24,20,27,24,24,33,98,5481,-3293,-12646,-8224,1465,1298,-570,-22,-41,-8
35390,17,25,20,26,24,37,38,96,5475,-3297,-12647,-8225,1473,1303,-567,-22,-41,-6
35412,17,24,23,25,23,36,36,93,5469,-3301,-12647,-8229,1471,1310,-551,-27,-32,-7
35427,18,27,25,28,21,36,34,91,5462,-3305,-12645,-8234,1455,1309,-551,-43,-31,-7
35450,19,26,27,29,21,38,30,95,5457,-3311,-12642,-8239,1463,1286,-554,-49,-35,-4
35472,21,27,25,25,21,37,36,114,5453,-3318,-12641,-8241,1455,1277,-549,-32,-33,6
35487,21,34,25,23,21,27,30,115,5449,-3325,-12640,-8243,1440,1271,-558,-34,-28,14
35510,22,33,24,23,23,26,31,116,5444,-3337,-12638,-8244,1436,1249,-567,-49,-45,24
35532,23,31,22,21,25,25,31,123,5440,-3351,-12636,-8244,1448,1265,-551,-41,-52,40
35547,22,33,19,21,25,21,32,91,5436,-3365,-12634,-8244,1459,1276,-545,-35,-58,45
35570,21,33,21,22,25,24,25,60,5433,-3381,-12632,-8243,1477,1276,-554,-38,-57,46
35592,22,27,21,23,26,23,24,57,5434,-3396,-12629,-8240,1493,1297,-554,-24,-46,68
35607,20,29,22,23,24,32,24,54,5436,-3411,-12624,-8240,1472,1313,-529,-24,-37,77
35630,18,33,23,23,25,46,26,32,5437,-3423,-12621,-8240,1462,1297,-523,-17,-36,63
35652,19,31,22,23,24,49,25,24,5443,-3430,-12620,-8234,1457,1249,-487,33,-27,49
35667,22,32,26,31,39,126,69,24,5456,-3432,-12622,-8221,1477,1251,-495,89,8,48
35690,23,33,29,34,46,141,95,30,5480,-3428,-12623,-8205,1507,1258,-510,124,66,57
35712,29,34,36,42,58,156,123,61,5511,-3416,-12626,-8186,1521,1287,-523,160,118,55
35735,28,35,36,42,61,155,126,63,5547,-3394,-12629,-8166,1500,1310,-535,189,174,46
35750,28,38,37,43,63,159,129,65,5587,-3365,-12628,-8151,1528,1340,-535,182,225,27
35772,26,39,33,39,58,118,113,65,5637,-3330,-12622,-8140,1571,1328,-535,165,292,7
35795,25,37,32,36,53,105,95,63,5693,-3285,-12610,-8139,1562,1364,-546,134,382,-6
35810,20,39,21,28,40,80,58,36,5755,-3238,-12589,-8147,1560,1352,-531,77,439,-14
35834,19,35,23,28,36,82,57,33,5823,-3187,-12557,-8167,1547,1300,-514,3,515,-34
35855,18,31,30,27,35,72,49,30,5899,-3128,-12520,-8192,1570,1300,-493,-6,582,-62
35871,16,33,110,33,50,57,46,29,5985,-3053,-12481,-8218,1613,1336,-513,9,690,-105
35901,17,38,189,78,75,62,43,28,6087,-2958,-12426,-8261,1713,1398,-550,-59,881,-170
35915,21,44,204,85,79,62,39,27,6242,-2836,-12328,-8334,1829,1465,-552,-216,1313,-165
35937,33,54,206,142,142,100,53,34,6425,-2687,-12194,-8442,1765,1572,-516,-351,1600,-199
35952,38,68,224,212,239,138,72,45,6619,-2528,-12041,-8559,1668,1471,-367,-411,1719,-214
35976,52,79,205,313,374,175,91,54,6805,-2379,-11887,-8671,1550,1283,-197,-413,1647,-198
35990,58,82,165,385,422,194,101,58,6999,-2253,-11745,-8743,1496,1148,-141,-271,1547,-41
36014,60,80,149,405,503,206,106,59,7163,-2119,-11653,-8767,1502,1194,-137,57,1318,-74
36051,56,77,152,392,541,204,106,60,7314,-1925,-11595,-8764,1440,1212,-53,419,1323,-279
36053,57,73,129,371,521,191,100,54,7442,-1710,-11553,-8756,1344,1221,-73,515,1268,-403
36089,60,96,157,323,562,240,119,68,7548,-1498,-11513,-8758,1299,1272,-66,451,1176,-457
36095,88,134,214,317,699,355,174,102,7627,-1317,-11461,-8786,1276,1259,5,235,1001,-485
36119,89,134,222,328,794,367,181,105,7702,-1169,-11400,-8821,1355,1341,-38,74,944,-388
36132,90,135,226,391,780,375,185,106,7753,-1039,-11338,-8872,1357,1466,-50,-74,818,-393
36156,90,145,260,389,796,378,185,109,7783,-940,-11268,-8945,1262,1417,-26,-264,672,-386
36195,83,149,308,384,777,343,170,99,7796,-873,-11202,-9023,1262,1370,37,-355,480,-355
36197,51,119,268,379,670,216,111,65,7833,-801,-11134,-9082,1373,1392,106,-244,574,-294
36233,54,123,267,410,512,206,105,65,7889,-691,-11064,-9128,1477,1503,260,-50,724,-346
36234,62,131,293,412,546,218,113,70,7937,-552,-10993,-9181,1446,1507,256,-16,798,-506
36263,61,119,303,444,536,235,125,70,7986,-404,-10919,-9235,1428,1479,251,-16,851,-554
36300,64,126,246,467,506,246,133,74,8028,-241,-10851,-9284,1341,1472,249,55,861,-606
36302,62,132,246,453,507,263,139,75,8071,-74,-10788,-9323,1213,1466,287,129,850,-556
36336,63,137,254,452,575,275,144,78,8119,87,-10719,-9361,1214,1524,223,59,898,-507
36338,59,133,226,474,641,269,138,73,8169,238,-10646,-9398,1209,1506,285,36,870,-481
36375,59,136,175,451,623,246,125,69,8210,394,-10577,-9435,1161,1535,271,51,857,-509
36377,63,111,173,421,608,254,129,75,8235,535,-10511,-9480,1085,1501,238,-23,745,-527
36404,66,110,223,404,637,250,126,75,8256,631,-10457,-9515,1020,1438,251,-75,549,-346
36410,70,134,292,399,592,256,134,80,8286,723,-10404,-9541,1033,1530,289,-45,565,-265
36442,72,137,313,383,512,300,153,87,8315,804,-10348,-9569,986,1490,307,-87,526,-235
36471,77,144,331,433,592,337,166,93,8340,874,-10299,-9594,1034,1529,371,-69,447,-216
36473,83,159,336,463,711,360,175,97,8363,950,-10256,-9614,1070,1542,383,-17,446,-246
36508,90,176,322,510,676,381,188,103,8381,1017,-10224,-9626,1029,1510,351,19,383,-200
36546,87,156,253,503,707,385,185,100,8394,1063,-10206,-9628,949,1454,366,52,244,-99
36571,82,159,234,511,794,341,167,93,8402,1096,-10202,-9621,923,1537,354,74,152,-3
36575,81,151,281,504,825,331,165,94,8402,1110,-10204,-9618,918,1591,327,14,46,47
36585,86,150,293,532,746,346,174,102,8391,1098,-10211,-9621,954,1597,336,-60,-88,67
36605,86,147,286,527,813,359,172,107,8379,1071,-10203,-9643,966,1586,431,-175,-135,58
36612,94,154,294,521,783,377,186,115,8363,1039,-10201,-9663,996,1549,421,-161,-175,36
36637,108,173,310,608,743,433,208,132,8350,1007,-10202,-9676,1015,1560,511,-93,-191,70
36650,109,175,260,614,807,439,209,133,8350,986,-10198,-9682,1054,1560,497,-64,-92,78
36674,103,176,243,605,795,434,207,128,8354,972,-10193,-9685,1062,1575,476,-51,-41,76
36712,100,170,252,686,741,406,199,121,8368,966,-10186,-9682,1053,1563,439,-30,41,96
36719,92,164,245,686,840,388,187,114,8383,959,-10174,-9683,1053,1591,460,-61,47,103
36742,80,146,224,654,880,357,174,101,8390,961,-10160,-9691,1053,1614,471,-65,54,30
36755,79,151,220,652,800,360,184,105,8388,963,-10150,-9703,1057,1580,444,-72,16,-18
